date,action_id,action_type,ratio,price,shares_traded,fee_paid,cash,holdings,total_assets
2017-02-27,5,BUY,0.62,57.220001220703125,0.0,9.785574049655975e-52,1.9392272014533296e-50,1541.3969273999005,88198.73406741035
2017-02-28,5,BUY,0.62,56.72999954223633,0.0,3.718518138869271e-52,7.369063365522653e-51,1541.3969273999005,87443.44698580084
2017-03-01,5,BUY,0.62,56.47999954223633,0.0,1.413036892770323e-52,2.8002440788986083e-51,1541.3969273999005,87058.09775395086
2017-03-02,5,BUY,0.62,57.0099983215332,0.0,5.369540192527228e-53,1.064092749981471e-51,1541.3969273999005,87875.03624388477
2017-03-03,5,BUY,0.62,56.369998931884766,0.0,2.0404252731603463e-53,4.04355244992959e-52,1541.3969273999005,86888.54315114285
2017-03-06,5,BUY,0.62,56.43999862670898,0.0,7.753616038009317e-54,1.5365499309732442e-52,1541.3969273999005,86996.44046566382
2017-03-07,5,BUY,0.62,56.45000076293945,0.0,2.946374094443541e-54,5.838889737698328e-53,1541.3969273999005,87011.85772771691
2017-03-08,5,BUY,0.62,56.72999954223633,0.0,1.1196221558885452e-54,2.2187781003253645e-53,1541.3969273999005,87443.44698580084
2017-03-09,5,BUY,0.62,57.77000045776367,0.0,4.2545641923764726e-55,8.431356781236385e-54,1541.3969273999005,89046.50120148777
2017-03-10,5,BUY,0.62,57.970001220703125,0.0,1.6167343931030593e-55,3.203915576869826e-54,1541.3969273999005,89354.78176296028
2017-03-13,5,BUY,0.62,58.63999938964844,0.0,6.1435906937916255e-56,1.217487919210534e-54,1541.3969273999005,90387.51488193615
2017-03-14,5,BUY,0.62,58.459999084472656,0.0,2.334564463640818e-56,4.626454093000029e-55,1541.3969273999005,90110.06296460715
2017-03-15,5,BUY,0.62,58.220001220703125,0.0,8.871344961835107e-57,1.7580525553400108e-55,1541.3969273999005,89740.13099481026
2017-03-16,5,BUY,0.62,58.52000045776367,0.0,3.3711110854973405e-57,6.68059971029204e-56,1541.3969273999005,90202.54889703769
2017-03-17,5,BUY,0.62,58.34999847412109,0.0,1.281022212488989e-57,2.5386278899109755e-56,1541.3969273999005,89940.50836179913
2017-03-20,5,BUY,0.62,57.54999923706055,0.0,4.867884407458159e-58,9.646785981661707e-57,1541.3969273999005,88707.39199587175
2017-03-21,5,BUY,0.62,57.810001373291016,0.0,1.8497960748341004e-58,3.665778673031449e-57,1541.3969273999005,89108.1584897748
2017-03-22,5,BUY,0.62,56.79999923706055,0.0,7.029225084369582e-59,1.3929958957519505e-57,1541.3969273999005,87551.34430032181
2017-03-23,5,BUY,0.62,57.040000915527344,0.0,2.6711055320604413e-59,5.2933844038574114e-58,1541.3969273999005,87921.28215008136
2017-03-24,5,BUY,0.62,56.810001373291016,0.0,1.0150201021829676e-59,2.0114860734658163e-58,1541.3969273999005,87566.7615623749
2017-03-27,5,BUY,0.62,56.91999816894531,0.0,3.857076388295276e-60,7.643647079170102e-59,1541.3969273999005,87736.31028522027
2017-03-28,5,BUY,0.62,56.65999984741211,0.0,1.465689027552205e-60,2.9045858900846387e-59,1541.3969273999005,87335.54967127986
2017-03-29,5,BUY,0.62,57.380001068115234,0.0,5.5696183046983786e-61,1.1037426382321627e-59,1541.3969273999005,88445.35734059583
2017-03-30,5,BUY,0.62,57.36000061035156,0.0,2.1164549557853843e-61,4.1942220252822185e-60,1541.3969273999005,88414.52869645231
2017-03-31,5,BUY,0.62,57.20000076293945,0.0,8.04252883198446e-62,1.593804369607243e-60,1541.3969273999005,88167.90542326684
2017-04-03,5,BUY,0.62,57.34000015258789,0.0,3.056160956154095e-62,6.056456604507523e-61,1541.3969273999005,88383.7000523088
2017-04-04,5,BUY,0.62,56.5,0.0,1.161341163338556e-62,2.301453509712859e-61,1541.3969273999005,87088.92639809438
2017-04-05,5,BUY,0.62,56.68000030517578,0.0,4.4130964206865127e-63,8.745523336908865e-62,1541.3969273999005,87366.37831542337
2017-04-06,5,BUY,0.62,56.470001220703125,0.0,1.6769766398608752e-63,3.3232988680253688e-62,1541.3969273999005,87042.68637186043
2017-04-07,5,BUY,0.62,56.52999877929688,0.0,6.372511231471326e-64,1.2628535698496401e-62,1541.3969273999005,87135.16642432834
2017-04-10,5,BUY,0.62,56.31999969482422,0.0,2.4215542679591036e-64,4.798843565428633e-63,1541.3969273999005,86811.47448076539
2017-04-11,5,BUY,0.62,56.52000045776367,0.0,9.201906218244595e-65,1.8235605548628805e-63,1541.3969273999005,87119.7550422379
2017-04-12,5,BUY,0.62,55.34999847412109,0.0,3.4967243629329463e-65,6.929530108478946e-64,1541.3969273999005,85316.31757959942
2017-04-13,5,BUY,0.62,53.38999938964844,0.0,1.3287552579145193e-65,2.6332214412219993e-64,1541.3969273999005,82295.18101308667
2017-04-14,5,BUY,0.62,52.790000915527344,0.0,5.049269980075174e-66,1.0006241476643597e-64,1541.3969273999005,81370.34520863178
2017-04-17,5,BUY,0.62,52.790000915527344,0.0,1.918722592428566e-66,3.802371761124567e-65,1541.3969273999005,81370.34520863178
2017-04-18,5,BUY,0.62,52.88999938964844,0.0,7.291145851228551e-67,1.4449012692273354e-65,1541.3969273999005,81524.48254938671
2017-04-19,5,BUY,0.62,52.66999816894531,0.0,2.7706354234668494e-67,5.490624823063874e-66,1541.3969273999005,81185.37334377068
2017-04-20,5,BUY,0.62,52.61000061035156,0.0,1.0528414609174025e-67,2.0864374327642723e-66,1541.3969273999005,81092.89329130278
2017-04-21,5,BUY,0.62,52.65999984741211,0.0,4.00079755148613e-68,7.928462244504234e-67,1541.3969273999005,81169.96196168025
2017-04-24,5,BUY,0.62,52.5,0.0,1.5203030695647294e-68,3.012815652911609e-67,1541.3969273999005,80923.33868849478
2017-04-25,2,BUY,0.35750000000000004,52.810001373291016,0.0,3.331180193554331e-69,1.935734056995709e-67,1541.3969273999005,81401.1738527753
2017-04-26,2,BUY,0.35750000000000004,53.0,0.0,2.1402832743586578e-69,1.2437091316197429e-67,1541.3969273999005,81694.03715219472
2017-04-27,2,BUY,0.35750000000000004,53.040000915527344,0.0,1.3751320037754376e-69,7.990831170656848e-68,1541.3969273999005,81755.69444048176
2017-04-28,5,BUY,0.62,53.209999084472656,0.0,1.5322624718991482e-69,3.0365158448496026e-68,1541.3969273999005,82017.72909575768
2017-05-01,5,BUY,0.62,53.7400016784668,0.0,5.822597393216765e-70,1.1538760210428488e-68,1541.3969273999005,82834.67346565421
2017-05-02,5,BUY,0.62,53.59999847412109,0.0,2.21258700942237e-70,4.3847288799628255e-69,1541.3969273999005,82618.8729566496
2017-05-03,5,BUY,0.62,53.290000915527344,0.0,8.407830635805005e-71,1.6661969743858738e-69,1541.3969273999005,82141.04367233174
2017-05-04,5,BUY,0.62,54.4900016784668,0.0,3.194975641605902e-71,6.331548502666321e-70,1541.3969273999005,83990.72116120414
2017-05-05,5,BUY,0.62,54.90999984741211,0.0,1.2140907438102428e-71,2.4059884310132022e-70,1541.3969273999005,84638.10504833004
2017-05-08,5,BUY,0.62,54.93000030517578,0.0,4.613544826478924e-72,9.142756037850168e-71,1541.3969273999005,84668.93369247354
2017-05-09,5,BUY,0.62,54.619998931884766,0.0,1.7531470340619908e-72,3.4742472943830637e-71,1541.3969273999005,84191.09852819302
2017-05-10,5,BUY,0.62,55.150001525878906,0.0,6.661958729435566e-73,1.3202139718655642e-71,1541.3969273999005,85008.04289808957
2017-05-11,5,BUY,0.62,55.33000183105469,0.0,2.5315443171855146e-73,5.016813093089144e-72,1541.3969273999005,85285.49481541857
2017-05-12,5,BUY,0.62,54.68000030517578,0.0,9.619868405304958e-74,1.906388975373875e-72,1541.3969273999005,84283.58446062358
2017-05-15,5,BUY,0.62,55.31999969482422,0.0,3.6555499940158845e-74,7.244278106420724e-73,1541.3969273999005,85270.07755336548
2017-05-16,5,BUY,0.62,55.400001525878906,0.0,1.3891089977260358e-74,2.7528256804398747e-73,1541.3969273999005,85393.39212993954
2017-05-17,5,BUY,0.62,55.95000076293945,0.0,5.278614191358935e-75,1.0460737585671523e-73,1541.3969273999005,86241.15926401697
2017-05-18,5,BUY,0.62,55.36000061035156,0.0,2.005873392716395e-75,3.975080282555179e-74,1541.3969273999005,85331.73484165252
2017-05-19,5,BUY,0.62,56.119998931884766,0.0,7.622318892322301e-76,1.510530507370968e-74,1541.3969273999005,86503.19391929287
2017-05-22,5,BUY,0.62,57.66999816894531,0.0,2.896481179082475e-76,5.740015928009678e-75,1541.3969273999005,88892.35798077019
2017-05-23,5,BUY,0.62,59.27999877929688,0.0,1.1006628480513403e-76,2.181206052643678e-75,1541.3969273999005,91374.00797467807
2017-05-24,5,BUY,0.62,59.220001220703125,0.0,4.182518822595093e-77,8.288583000045977e-76,1541.3969273999005,91281.52792221015
2017-05-25,5,BUY,0.62,58.63999938964844,0.0,1.5893571525861359e-77,3.149661540017471e-76,1541.3969273999005,90387.51488193615
2017-05-26,5,BUY,0.62,58.45000076293945,0.0,6.039557179827316e-78,1.1968713852066389e-76,1541.3969273999005,90094.65158251672
